Number,Name,Days,Time,Room,Instructor,Available,Description,General Ed,Distribution Req,Course Materials,Notes
CLAS 294-01,Digital Archaeology: Digitizing the Human Experience,Days:  T R,Time: 09:40 am-11:10 am,Room:,"Instructor: Legge, Overman",Avail./Max.: 16 / 16,"Digital Archaeology: Digitizing the Human Experience - Digital visualization technologies are increasingly important across nearly all academic disciplines. In Archaeology and Anthropology, these tools are being used to showcase artifacts and research findings in an ever-expanding digital space. This course will focus on the development of a digital exhibition project using materials from one of the repositories on Macalesterâ€™s campus, such as the archives, Art stores, public art, or even research/teaching collections. Teams of students will formulate their goals for a digital exhibit based on assigned readings addressing theory and practice in virtual spaces in museums. Students will gain familiarity with a range of digitization technologies available at Macalester including those used in photogrammetry, 3D scanning, 3D printing, and more.",[],[],https://www.bkstr.com/webApp/discoverView?bookstore_id-1=1306&term_id-1=202110&div-1=&dept-1=CLAS&course-1=294&section-1=01,*Cross-listed with ANTH 294-01*
CLAS 483-01,Advanced Reading in Latin,Days: M W F,Time: 02:20 pm-03:20 pm,Room:,Instructor: Beth Severy-Hoven,Avail./Max.: 15 / 15,"Students who pursue Latin at the advanced level will study closely one or more works and explore relevant problems in literary or textual criticism, linguistic, social or cultural history, and/or reception. Authors may include Tacitus, Seneca, Apuleius, Juvenal, Martial or others. May be repeated for credit. Prerequisite(s): CLAS 332or equivalent.",['Writing WP'],['Humanities'],https://www.bkstr.com/webApp/discoverView?bookstore_id-1=1306&term_id-1=202110&div-1=&dept-1=CLAS&course-1=483&section-1=01,
CLAS 490-01,Senior Seminar,Days: M W F,Time: 10:50 am-11:50 am,Room:,Instructor: Beth Severy-Hoven,Avail./Max.: 20 / 20,"The Senior Seminar caps the experience of being a Classics major. Students in all three tracks (Archaeology, Civilization, and Languages) join together to explore the history of the discipline and its relationship to their own histories and future plans. Students learn about, draft and critique documents useful for their next steps, including resumes, personal statements and cover letters, along with discussing selected readings in a seminar setting. Each student also works with an advisor from the department to develop and execute a major piece of work in their chosen field, Majors who have completed the Senior Seminar have thus executed a substantive independent project and can articulate the place of their Classics major within their personal and professional development. Prerequisite(s): Must be a declared Classics major",[],['Humanities'],https://www.bkstr.com/webApp/discoverView?bookstore_id-1=1306&term_id-1=202110&div-1=&dept-1=CLAS&course-1=490&section-1=01,
COMP 112-01,Introduction to Data Science,Days:  T R,Time: 08:00 am-09:30 am,Room:,Instructor: Lisa Lendway,Avail./Max.: 24 / 24,"This course provides an introduction to the handling, analysis, and interpretation of the big datasets now routinely being collected in science, commerce, and government. Students achieve facility with a sophisticated, technical computing environment. The course aligns with techniques being used in several courses in the natural and social sciences, statistics, and mathematics. The course is intended to be accessible to all students, regardless of background.",[],['Natural science and mathematics'],https://www.bkstr.com/webApp/discoverView?bookstore_id-1=1306&term_id-1=202110&div-1=&dept-1=COMP&course-1=112&section-1=01,
COMP 112-02,Introduction to Data Science,Days:  T R,Time: 09:40 am-11:10 am,Room:,Instructor: Lisa Lendway,Avail./Max.: 24 / 24,"This course provides an introduction to the handling, analysis, and interpretation of the big datasets now routinely being collected in science, commerce, and government. Students achieve facility with a sophisticated, technical computing environment. The course aligns with techniques being used in several courses in the natural and social sciences, statistics, and mathematics. The course is intended to be accessible to all students, regardless of background.",[],['Natural science and mathematics'],https://www.bkstr.com/webApp/discoverView?bookstore_id-1=1306&term_id-1=202110&div-1=&dept-1=COMP&course-1=112&section-1=02,
COMP 123-01,Core Concepts in Computer Science,Days: M W F,Time: 09:40 am-10:40 am,Room:,Instructor: Lian Duan,Avail./Max.: 25 / 25,"This course introduces the field of computer science, including central concepts such as the design and implementation of algorithms and programs, testing and analyzing programs, the representation of information within the computer, and the role of abstraction and metaphor in computer science. The exploration of these central ideas will draw examples from a range of application areas including multimedia processing, turtle graphics, and text processing. Course work will use the Python programming language.",[],['Natural science and mathematics'],https://www.bkstr.com/webApp/discoverView?bookstore_id-1=1306&term_id-1=202110&div-1=&dept-1=COMP&course-1=123&section-1=01,*First day attendance required*
COMP 123-02,Core Concepts in Computer Science,Days: M W F,Time: 10:50 am-11:50 am,Room:,Instructor: Elizabeth Ernst,Avail./Max.: 25 / 25,"This course introduces the field of computer science, including central concepts such as the design and implementation of algorithms and programs, testing and analyzing programs, the representation of information within the computer, and the role of abstraction and metaphor in computer science. The exploration of these central ideas will draw examples from a range of application areas including multimedia processing, turtle graphics, and text processing. Course work will use the Python programming language.",[],['Natural science and mathematics'],https://www.bkstr.com/webApp/discoverView?bookstore_id-1=1306&term_id-1=202110&div-1=&dept-1=COMP&course-1=123&section-1=02,*First day attendance required*
COMP 123-03,Core Concepts in Computer Science,Days: M W F,Time: 12:00 pm-01:00 pm,Room:,Instructor: Elizabeth Ernst,Avail./Max.: 25 / 25,"This course introduces the field of computer science, including central concepts such as the design and implementation of algorithms and programs, testing and analyzing programs, the representation of information within the computer, and the role of abstraction and metaphor in computer science. The exploration of these central ideas will draw examples from a range of application areas including multimedia processing, turtle graphics, and text processing. Course work will use the Python programming language.",[],['Natural science and mathematics'],https://www.bkstr.com/webApp/discoverView?bookstore_id-1=1306&term_id-1=202110&div-1=&dept-1=COMP&course-1=123&section-1=03,*First day attendance required*
COMP 123-04,Core Concepts in Computer Science,Days: M W F,Time: 01:10 pm-02:10 pm,Room:,Instructor: STAFF,Avail./Max.: 25 / 25,"This course introduces the field of computer science, including central concepts such as the design and implementation of algorithms and programs, testing and analyzing programs, the representation of information within the computer, and the role of abstraction and metaphor in computer science. The exploration of these central ideas will draw examples from a range of application areas including multimedia processing, turtle graphics, and text processing. Course work will use the Python programming language.",[],['Natural science and mathematics'],https://www.bkstr.com/webApp/discoverView?bookstore_id-1=1306&term_id-1=202110&div-1=&dept-1=COMP&course-1=123&section-1=04,*First day attendance required*
COMP 123-05,Core Concepts in Computer Science,Days: M W F,Time: 02:20 pm-03:20 pm,Room: OLRI 258,Instructor: STAFF,Avail./Max.: 25 / 25,"This course introduces the field of computer science, including central concepts such as the design and implementation of algorithms and programs, testing and analyzing programs, the representation of information within the computer, and the role of abstraction and metaphor in computer science. The exploration of these central ideas will draw examples from a range of application areas including multimedia processing, turtle graphics, and text processing. Course work will use the Python programming language.",[],['Natural science and mathematics'],https://www.bkstr.com/webApp/discoverView?bookstore_id-1=1306&term_id-1=202110&div-1=&dept-1=COMP&course-1=123&section-1=05,*First day attendance required*
COMP 127-01,Object-Oriented Programming and Abstraction,Days: M W F,Time: 09:40 am-10:40 am,Room: OLRI 256,Instructor: Paul Cantrell,Avail./Max.: 16 / 16,"What happens as software grows in complexity? How do we break a program into manageable pieces? How do we write readable, maintainable code? This course is an introduction to the building blocks of software design: abstraction, decomposition, and encapsulation. Using object-oriented programming in Java, we will create graphics, games, and simulations, and explore natural language processing. Topics may include: classes, objects, polymorphism, inheritance, testing, refactoring, events, closures, streams, immutability, parallel programming, and version control. The course culminates in a student-designed project. There is a required 1.5 hour laboratory section associated with this course. Prerequisite(s): COMP 123Â or permission of instructor.",[],['Natural science and mathematics'],https://www.bkstr.com/webApp/discoverView?bookstore_id-1=1306&term_id-1=202110&div-1=&dept-1=COMP&course-1=127&section-1=01,*First day attendance required*
COMP 127-02,Object-Oriented Programming and Abstraction,Days: M W F,Time: 10:50 am-11:50 am,Room: OLRI 256,Instructor: Paul Cantrell,Avail./Max.: 16 / 16,"What happens as software grows in complexity? How do we break a program into manageable pieces? How do we write readable, maintainable code? This course is an introduction to the building blocks of software design: abstraction, decomposition, and encapsulation. Using object-oriented programming in Java, we will create graphics, games, and simulations, and explore natural language processing. Topics may include: classes, objects, polymorphism, inheritance, testing, refactoring, events, closures, streams, immutability, parallel programming, and version control. The course culminates in a student-designed project. There is a required 1.5 hour laboratory section associated with this course. Prerequisite(s): COMP 123Â or permission of instructor.",[],['Natural science and mathematics'],https://www.bkstr.com/webApp/discoverView?bookstore_id-1=1306&term_id-1=202110&div-1=&dept-1=COMP&course-1=127&section-1=02,*First day attendance required*
COMP 127-03,Object-Oriented Programming and Abstraction,Days: M W F,Time: 01:10 pm-02:10 pm,Room: OLRI 256,Instructor: Abigail Marsh,Avail./Max.: 16 / 16,"What happens as software grows in complexity? How do we break a program into manageable pieces? How do we write readable, maintainable code? This course is an introduction to the building blocks of software design: abstraction, decomposition, and encapsulation. Using object-oriented programming in Java, we will create graphics, games, and simulations, and explore natural language processing. Topics may include: classes, objects, polymorphism, inheritance, testing, refactoring, events, closures, streams, immutability, parallel programming, and version control. The course culminates in a student-designed project. There is a required 1.5 hour laboratory section associated with this course. Prerequisite(s): COMP 123Â or permission of instructor.",[],['Natural science and mathematics'],https://www.bkstr.com/webApp/discoverView?bookstore_id-1=1306&term_id-1=202110&div-1=&dept-1=COMP&course-1=127&section-1=03,*First day attendance required*
COMP 127-04,Object-Oriented Programming and Abstraction,Days: M W F,Time: 02:20 pm-03:20 pm,Room: OLRI 256,Instructor: Abigail Marsh,Avail./Max.: 16 / 16,"What happens as software grows in complexity? How do we break a program into manageable pieces? How do we write readable, maintainable code? This course is an introduction to the building blocks of software design: abstraction, decomposition, and encapsulation. Using object-oriented programming in Java, we will create graphics, games, and simulations, and explore natural language processing. Topics may include: classes, objects, polymorphism, inheritance, testing, refactoring, events, closures, streams, immutability, parallel programming, and version control. The course culminates in a student-designed project. There is a required 1.5 hour laboratory section associated with this course. Prerequisite(s): COMP 123Â or permission of instructor.",[],['Natural science and mathematics'],https://www.bkstr.com/webApp/discoverView?bookstore_id-1=1306&term_id-1=202110&div-1=&dept-1=COMP&course-1=127&section-1=04,*First day attendance required*
COMP 127-L1,Object-Oriented Programming and Abstraction,Days:    R,Time: 08:00 am-09:30 am,Room: OLRI 256,Instructor: Paul Cantrell,Avail./Max.: 16 / 16,"What happens as software grows in complexity? How do we break a program into manageable pieces? How do we write readable, maintainable code? This course is an introduction to the building blocks of software design: abstraction, decomposition, and encapsulation. Using object-oriented programming in Java, we will create graphics, games, and simulations, and explore natural language processing. Topics may include: classes, objects, polymorphism, inheritance, testing, refactoring, events, closures, streams, immutability, parallel programming, and version control. The course culminates in a student-designed project. There is a required 1.5 hour laboratory section associated with this course. Prerequisite(s): COMP 123Â or permission of instructor.",[],['Natural science and mathematics'],https://www.bkstr.com/webApp/discoverView?bookstore_id-1=1306&term_id-1=202110&div-1=&dept-1=COMP&course-1=127&section-1=L1,*First day attendance required*
COMP 127-L2,Object-Oriented Programming and Abstraction,Days:    R,Time: 09:40 am-11:10 am,Room: OLRI 256,Instructor: Paul Cantrell,Avail./Max.: 16 / 16,"What happens as software grows in complexity? How do we break a program into manageable pieces? How do we write readable, maintainable code? This course is an introduction to the building blocks of software design: abstraction, decomposition, and encapsulation. Using object-oriented programming in Java, we will create graphics, games, and simulations, and explore natural language processing. Topics may include: classes, objects, polymorphism, inheritance, testing, refactoring, events, closures, streams, immutability, parallel programming, and version control. The course culminates in a student-designed project. There is a required 1.5 hour laboratory section associated with this course. Prerequisite(s): COMP 123Â or permission of instructor.",[],['Natural science and mathematics'],https://www.bkstr.com/webApp/discoverView?bookstore_id-1=1306&term_id-1=202110&div-1=&dept-1=COMP&course-1=127&section-1=L2,*First day attendance required*
COMP 127-L3,Object-Oriented Programming and Abstraction,Days:    R,Time: 01:20 pm-02:50 pm,Room: OLRI 256,Instructor: Abigail Marsh,Avail./Max.: 16 / 16,"What happens as software grows in complexity? How do we break a program into manageable pieces? How do we write readable, maintainable code? This course is an introduction to the building blocks of software design: abstraction, decomposition, and encapsulation. Using object-oriented programming in Java, we will create graphics, games, and simulations, and explore natural language processing. Topics may include: classes, objects, polymorphism, inheritance, testing, refactoring, events, closures, streams, immutability, parallel programming, and version control. The course culminates in a student-designed project. There is a required 1.5 hour laboratory section associated with this course. Prerequisite(s): COMP 123Â or permission of instructor.",[],['Natural science and mathematics'],https://www.bkstr.com/webApp/discoverView?bookstore_id-1=1306&term_id-1=202110&div-1=&dept-1=COMP&course-1=127&section-1=L3,*First day attendance required*
COMP 127-L4,Object-Oriented Programming and Abstraction,Days:    R,Time: 03:00 pm-04:30 pm,Room: OLRI 256,Instructor: Abigail Marsh,Avail./Max.: 16 / 16,"What happens as software grows in complexity? How do we break a program into manageable pieces? How do we write readable, maintainable code? This course is an introduction to the building blocks of software design: abstraction, decomposition, and encapsulation. Using object-oriented programming in Java, we will create graphics, games, and simulations, and explore natural language processing. Topics may include: classes, objects, polymorphism, inheritance, testing, refactoring, events, closures, streams, immutability, parallel programming, and version control. The course culminates in a student-designed project. There is a required 1.5 hour laboratory section associated with this course. Prerequisite(s): COMP 123Â or permission of instructor.",[],['Natural science and mathematics'],https://www.bkstr.com/webApp/discoverView?bookstore_id-1=1306&term_id-1=202110&div-1=&dept-1=COMP&course-1=127&section-1=L4,*First day attendance required*
COMP 128-01,Data Structures,Days: M W F,Time: 09:40 am-10:40 am,Room: OLRI 241,Instructor: Esra Kadioglu Urtis,Avail./Max.: 20 / 20,"This course familiarizes students with the fundamental data structures in computer science. Using the Java programming language, students will study existing data structure implementations, implement their own data structures, and develop data-intensive applications. The course covers stacks, queues, lists, trees, heaps, hash tables, graphs, and the common algorithms that use these data structures. Students will also receive an introduction to basic complexity analysis (Big-O), learn the time complexity of different data structure operations, and gain experience in calculating the time complexity of programs that use data structures. Prerequisite(s): COMP 127Â or permission of instructor.",[],['Natural science and mathematics'],https://www.bkstr.com/webApp/discoverView?bookstore_id-1=1306&term_id-1=202110&div-1=&dept-1=COMP&course-1=128&section-1=01,
COMP 128-02,Data Structures,Days: M W F,Time: 10:50 am-11:50 am,Room: OLRI 241,Instructor: Esra Kadioglu Urtis,Avail./Max.: 20 / 20,"This course familiarizes students with the fundamental data structures in computer science. Using the Java programming language, students will study existing data structure implementations, implement their own data structures, and develop data-intensive applications. The course covers stacks, queues, lists, trees, heaps, hash tables, graphs, and the common algorithms that use these data structures. Students will also receive an introduction to basic complexity analysis (Big-O), learn the time complexity of different data structure operations, and gain experience in calculating the time complexity of programs that use data structures. Prerequisite(s): COMP 127Â or permission of instructor.",[],['Natural science and mathematics'],https://www.bkstr.com/webApp/discoverView?bookstore_id-1=1306&term_id-1=202110&div-1=&dept-1=COMP&course-1=128&section-1=02,
COMP 154-01,Digital Ethics,Days:  T R,Time: 09:40 am-11:10 am,Room:,Instructor: Diane Michelfelder,Avail./Max.: 20 / 20,"This course looks at ethical questions connected with the internet as we know it today: an online environment where content is generated and shared through user activities such as blogging, media sharing, social networking, tagging, tweeting, virtual world gaming, wiki developing, and the like. We will start by considering debates over freedom of speech, privacy, surveillance, and intellectual property: issues that pre-exist the development of the Internet, but which because of it have taken on new dimensions. From here we will go on to take up some ethical questions arising from four different domains of activity on the social web: gaming, social networking, blog/wiki developing, and ""hacktivism."" In the third part of the course, we will consider broad questions connected to the integration of the Internet with devices other than the personal computer and mobile phone and which open the prospect of a world of integrated networked systems. What are some of the impacts of such integration on our everyday ethical relations with others and on the overall quality of our lives? How does being networked affect the meaning of being human?",['Writing WA'],['Humanities'],https://www.bkstr.com/webApp/discoverView?bookstore_id-1=1306&term_id-1=202110&div-1=&dept-1=COMP&course-1=154&section-1=01,*Cross-listed with PHIL 225-01*
COMP 194-01,Interacting with Virtual Worlds: 3D User Interfaces and Virtual Reality,Days:  T R,Time: 01:20 pm-02:50 pm,Room:,Instructor: Bret Jackson,Avail./Max.: 16 / 16,Varies by semester. Consult the department or class schedule for current listing.,[],[],https://www.bkstr.com/webApp/discoverView?bookstore_id-1=1306&term_id-1=202110&div-1=&dept-1=COMP&course-1=194&section-1=01,*First-Year Course only*
COMP 221-01,Algorithm Design and Analysis,Days: M W F,Time: 12:00 pm-01:00 pm,Room: OLRI 254,Instructor: Susan Fox,Avail./Max.: 25 / 25,"This course offers an in-depth introduction to the design and analysis of algorithms. Students will work with algorithms in pseudocode, and will learn formal and informal methods for analyzing algorithm efficiency and correctness. Topics may include recursion, divide and conquer, dynamic programming, greedy methods, branch and bound, randomized, probabilistic, and parallel algorithms. Application areas include string processing, graphs, geometric problems, and optimization. This course will introduce computability topics including regular expressions, grammars and parsing, automata, nondeterminism, and NP completeness. Prerequisite(s): COMP 128Â (or COMP 124, if previously taken) and MATH 279, or permission of instructor.",[],['Natural science and mathematics'],https://www.bkstr.com/webApp/discoverView?bookstore_id-1=1306&term_id-1=202110&div-1=&dept-1=COMP&course-1=221&section-1=01,*Permission of instructor required; first day attendance required*
COMP 225-01,Software Design and Development,Days: M W F,Time: 09:40 am-10:40 am,Room: OLRI 245,Instructor: Lauren Milne,Avail./Max.: 16 / 16,"This course is an introduction to the problem of building software with humans and for humans. Students work in teams to design and implement a semester-long user-facing software project of their own invention. There are no limitations on topic or technology; on the contrary, students are responsible for imagining possibilities, articulating goals, and researching and selecting suitable technologies. The format resembles a studio art class, with in-class discussion guided by sharing and critiquing classmates' ongoing work. Topics include communication, division of labor, user-centered design, human-computer interaction, product management, project management, iterative development, engineering tradeoffs, separation of concerns, code readability and maintainability, refactoring, testing, and version control. Teams give a public demonstration of their working projects at the end of the semester. Prerequisite(s): COMP 127 (COMP 128 recommended), or COMP 124 if previously taken, or permission of instructor.",[],['Natural science and mathematics'],https://www.bkstr.com/webApp/discoverView?bookstore_id-1=1306&term_id-1=202110&div-1=&dept-1=COMP&course-1=225&section-1=01,*Permission of instructor required; first day attendance required*
COMP 225-02,Software Design and Development,Days: M W F,Time: 10:50 am-11:50 am,Room: OLRI 245,Instructor: Lauren Milne,Avail./Max.: 16 / 16,"This course is an introduction to the problem of building software with humans and for humans. Students work in teams to design and implement a semester-long user-facing software project of their own invention. There are no limitations on topic or technology; on the contrary, students are responsible for imagining possibilities, articulating goals, and researching and selecting suitable technologies. The format resembles a studio art class, with in-class discussion guided by sharing and critiquing classmates' ongoing work. Topics include communication, division of labor, user-centered design, human-computer interaction, product management, project management, iterative development, engineering tradeoffs, separation of concerns, code readability and maintainability, refactoring, testing, and version control. Teams give a public demonstration of their working projects at the end of the semester. Prerequisite(s): COMP 127 (COMP 128 recommended), or COMP 124 if previously taken, or permission of instructor.",[],['Natural science and mathematics'],https://www.bkstr.com/webApp/discoverView?bookstore_id-1=1306&term_id-1=202110&div-1=&dept-1=COMP&course-1=225&section-1=02,*Permission of instructor required; first day attendance required*
COMP 225-03,Software Design and Development,Days: M W F,Time: 01:10 pm-02:10 pm,Room: OLRI 245,Instructor: Shilad Sen,Avail./Max.: 20 / 20,"This course is an introduction to the problem of building software with humans and for humans. Students work in teams to design and implement a semester-long user-facing software project of their own invention. There are no limitations on topic or technology; on the contrary, students are responsible for imagining possibilities, articulating goals, and researching and selecting suitable technologies. The format resembles a studio art class, with in-class discussion guided by sharing and critiquing classmates' ongoing work. Topics include communication, division of labor, user-centered design, human-computer interaction, product management, project management, iterative development, engineering tradeoffs, separation of concerns, code readability and maintainability, refactoring, testing, and version control. Teams give a public demonstration of their working projects at the end of the semester. Prerequisite(s): COMP 127 (COMP 128 recommended), or COMP 124 if previously taken, or permission of instructor.",[],['Natural science and mathematics'],https://www.bkstr.com/webApp/discoverView?bookstore_id-1=1306&term_id-1=202110&div-1=&dept-1=COMP&course-1=225&section-1=03,*Permission of instructor required; first day attendance required*
COMP 240-01,Computer Systems Organization,Days: M W F,Time: 02:20 pm-03:20 pm,Room: OLRI 245,Instructor: Elizabeth Shoop,Avail./Max.: 12 / 12,"This course familiarizes the student with the internal design and organization of computers. Topics include number systems, internal data representations, microarchitectures, the functional units of a computer system, memory, processor, and input/output structures, instruction sets and assembly language, addressing techniques, system software, and concurrency and parallelism. Prerequisite(s): COMP 127Â (or COMP 124 if previously taken) or permission of instructor.",[],['Natural science and mathematics'],https://www.bkstr.com/webApp/discoverView?bookstore_id-1=1306&term_id-1=202110&div-1=&dept-1=COMP&course-1=240&section-1=01,*Permission of instructor required; first day attendance required*
COMP 240-02,Computer Systems Organization,Days: M W F,Time: 03:30 pm-04:30 pm,Room: OLRI 245,Instructor: Elizabeth Shoop,Avail./Max.: 12 / 12,"This course familiarizes the student with the internal design and organization of computers. Topics include number systems, internal data representations, microarchitectures, the functional units of a computer system, memory, processor, and input/output structures, instruction sets and assembly language, addressing techniques, system software, and concurrency and parallelism. Prerequisite(s): COMP 127Â (or COMP 124 if previously taken) or permission of instructor.",[],['Natural science and mathematics'],https://www.bkstr.com/webApp/discoverView?bookstore_id-1=1306&term_id-1=202110&div-1=&dept-1=COMP&course-1=240&section-1=02,*Permission of instructor required; first day attendance required*
COMP 302-01,Introduction to Database Management Systems,Days:  T R,Time: 09:40 am-11:10 am,Room: OLRI 245,Instructor: Getiria Onsongo,Avail./Max.: 20 / 20,"This course will introduce students to the design, implementation, and analysis of databases stored in database management systems (DBMS). Topics include implementation-neutral data modeling, database design, database implementation, and data analysis using relational algebra and SQL. Students will generate data models based on real-world problems, and implement a database in a state-of-the-art DBMS. Students will master complex data analysis by learning to first design database queries and then implement them in a database query language such as SQL. Advanced topics include objects in databases, indexing for improved performance, distributed databases, and data warehouses.",[],['Natural science and mathematics'],https://www.bkstr.com/webApp/discoverView?bookstore_id-1=1306&term_id-1=202110&div-1=&dept-1=COMP&course-1=302&section-1=01,*Permission of instructor required; first day attendance required*
COMP 320-01,Computational Biology,Days: M W,Time: 08:00 am-09:30 am,Room: OLRI 258,"Instructor: Onsongo, Shields-Cutler",Avail./Max.: 20 / 20,"This interdisciplnary course will examine selected topics in computational biology, including basic bioinformatics, algorithms used in genomics and genome analysis, computational techniques for systems biology, and synthetic biology. Prerequisite(s): COMP 123; BIOL 190Â recommended",[],['Natural science and mathematics'],https://www.bkstr.com/webApp/discoverView?bookstore_id-1=1306&term_id-1=202110&div-1=&dept-1=COMP&course-1=320&section-1=01,"*Permission of instructor required; first day attendance required; cross-listed with BIOL 320-01; ACTC students eligible to add the course at the start of the semester only, with permission of instructor*"
COMP 394-01,"Video Games: Coding, Narrative and Life in VR",Days:  T R,Time: 09:40 am-11:10 am,Room: OLRI 258,"Instructor: Dawes, Jackson",Avail./Max.: 16 / 16,"Virtual reality (VR) for gaming and entertainment has exploded in popular culture. VR engages the senses (visual, auditory, and haptic) in revolutionary ways, allowing users to immerse themselves in new worlds, to become rather than play a character. As a result, VR has quickly emerged at the front edge of experimentation in storytelling and narrative design. It has also become one of the most creative popular-cultural sites for experimenting with understanding other minds and identities. Cross-listed between Computer Science and English, this course is an introduction to the challenge of building immersive virtual reality (VR) games through the lens of narrative and storytelling.  Students will work in interdisciplinary teams to bring world-building narrative techniques to an immersive visual setting while exploring technical challenges involved in programming and game development through hands-on projects. Permission of the instructor is required to register. Cut/paste the following URL to out the interest survey to request permission: https://forms.gle/KWXR4y4YpVK996dN9",[],[],https://www.bkstr.com/webApp/discoverView?bookstore_id-1=1306&term_id-1=202110&div-1=&dept-1=COMP&course-1=394&section-1=01,*Permission of instructor required; first day attendance required; cross-listed with ENGL 294-02*
COMP 394-02,Software Testing,Days: M W F,Time: 12:00 pm-01:00 pm,Room: OLRI 241,Instructor: Lian Duan,Avail./Max.: 20 / 20,Varies by semester. Consult the department or class schedule for current listing.,[],[],https://www.bkstr.com/webApp/discoverView?bookstore_id-1=1306&term_id-1=202110&div-1=&dept-1=COMP&course-1=394&section-1=02,*Permission of instructor required; first day attendance required*
COMP 440-01,Collective Intelligence,Days: M W,Time: 08:00 am-09:30 am,Room:,Instructor: Shilad Sen,Avail./Max.: 20 / 20,"This course introduces the theory and practice of data science applied to online communities such as Wikipedia, Facebook, and Twitter. Students will read and discuss recent academic research papers that analyze behavior on these websites and use computational simulation, machine learning, and data-mining techniques to analyze massive behavioral datasets in areas such as recommender systems, natural language processing, and tagging systems. This course counts as the capstone. Prerequisite(s): COMP 221Â or permission of instructor.",[],['Natural science and mathematics'],https://www.bkstr.com/webApp/discoverView?bookstore_id-1=1306&term_id-1=202110&div-1=&dept-1=COMP&course-1=440&section-1=01,*Permission of instructor required; first day attendance required*
COMP 479-01,Network Science,Days:  T R,Time: 03:00 pm-04:30 pm,Room:,Instructor: Andrew Beveridge,Avail./Max.: 16 / 16,"The modern Information Age has produced a wealth of data about the complex networks that tie us together. In response, the field of Network Science has arisen, bringing together mathematics, computer science, sociology, biology, economics and other fields. This course will explore the fundamental questions and the mathematical tools of Network Science. This includes: the structure of complex networks, including connectedness, centrality and ""long tails""; community detection; random/strategic models for network formation; diffusion/contagion and ""tipping points"" on networks; and algorithms for analyzing complex networks. Prerequisite(s): COMP 123, MATH 236 and MATH 379",[],['Natural science and mathematics'],https://www.bkstr.com/webApp/discoverView?bookstore_id-1=1306&term_id-1=202110&div-1=&dept-1=COMP&course-1=479&section-1=01,*Permission of instructor required; first day attendance required; cross-listed with MATH 479-01*
COMP 484-01,Introduction to Artificial Intelligence,Days: M W F,Time: 03:30 pm-04:30 pm,Room: OLRI 258,Instructor: Susan Fox,Avail./Max.: 24 / 24,"An introduction to the basic principles and techniques of artificial intelligence. Topics will include specific AI techniques, a range of application areas, and connections between AI and other areas of study (i.e., philosophy, psychology). Techniques may include heuristic search, automated reasoning, machine learning, deliberative planning and behavior-based agent control. Application areas include robotics, games, knowledge representation, and natural language processing.Â This course involves programming in Python; students should have a basic familiarity with Python or be prepared to learn Python during the course. This course counts as the capstone. Prerequisite(s): COMP 221, or permission of instructor.",[],['Natural science and mathematics'],https://www.bkstr.com/webApp/discoverView?bookstore_id-1=1306&term_id-1=202110&div-1=&dept-1=COMP&course-1=484&section-1=01,*Permission of instructor required; first day attendance required*
COMP 494-01,COMP Topics Course,Days: M W F,Time: 10:50 am-11:50 am,Room:,Instructor: Abigail Marsh,Avail./Max.: 20 / 20,Varies by semester. Consult the department or class schedule for current listing.,[],[],https://www.bkstr.com/webApp/discoverView?bookstore_id-1=1306&term_id-1=202110&div-1=&dept-1=COMP&course-1=494&section-1=01,*Permission of instructor required; first day attendance required*
ECON 113-01,Financial Accounting,Days:  T R,Time: 08:00 am-09:30 am,Room:,Instructor: Jeff Evans,Avail./Max.: 25 / 25,"Accounting is the language of business. One of the objectives of this course is to learn that ""language."" The emphasis will be on understanding financial statements both for profit and non-profit organizations. International accounting, ethics and investment decisions are also covered. This course is designed for students who desire an understanding of the elements of accounting as a component of a liberal arts education as well as for those who would like to study further in accounting or business. This course counts as a Group B elective.",[],[],https://www.bkstr.com/webApp/discoverView?bookstore_id-1=1306&term_id-1=202110&div-1=&dept-1=ECON&course-1=113&section-1=01,
ECON 113-02,Financial Accounting,Days:  T R,Time: 01:20 pm-02:50 pm,Room:,Instructor: Jeff Evans,Avail./Max.: 25 / 25,"Accounting is the language of business. One of the objectives of this course is to learn that ""language."" The emphasis will be on understanding financial statements both for profit and non-profit organizations. International accounting, ethics and investment decisions are also covered. This course is designed for students who desire an understanding of the elements of accounting as a component of a liberal arts education as well as for those who would like to study further in accounting or business. This course counts as a Group B elective.",[],[],https://www.bkstr.com/webApp/discoverView?bookstore_id-1=1306&term_id-1=202110&div-1=&dept-1=ECON&course-1=113&section-1=02,
ECON 119-01,Principles of Economics,Days: M W F,Time: 09:40 am-10:40 am,Room:,Instructor: Mario Solis-Garcia,Avail./Max.: 16 / 16,"A one-semester introduction to the basic tools of micro- and macroeconomic analysis. Microeconomics deals with consumers, firms, markets and income distribution. Macroeconomics deals with national income, employment, inflation and money. This course counts as a Group E elective.","['Writing WP', 'Quantitative Thinking Q3']",['Social science'],https://www.bkstr.com/webApp/discoverView?bookstore_id-1=1306&term_id-1=202110&div-1=&dept-1=ECON&course-1=119&section-1=01,*First-Year Course only*
